timer,temp,vibX,vibY,vibZ,magnitude,rms,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:01:19,31.07,-9.611,-3.766,-1.569,10.441,6.028,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:01:26,31.21,-9.571,-3.687,-1.648,10.388,5.998,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:01:29,30.99,-9.611,-3.727,-1.53,10.421,6.016,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:01:35,30.99,-9.571,-3.491,-1.608,10.314,5.955,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:01:42,30.87,-9.689,-3.962,-1.491,10.573,6.104,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:01:47,30.85,-9.689,-3.609,-1.53,10.452,6.034,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:01:52,31.01,-9.571,-3.609,-1.608,10.355,5.978,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:01:56,31.07,-9.807,-3.53,-1.53,10.534,6.082,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:02:01,31.05,-9.728,-3.962,-1.53,10.615,6.128,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:02:06,31.15,-9.454,-3.53,-1.608,10.219,5.9,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:02:12,31.19,-9.807,-3.687,-1.491,10.582,6.11,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:02:18,31.25,-9.767,-3.766,-1.608,10.591,6.115,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:02:21,31.35,-9.689,-3.687,-1.53,10.479,6.05,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:02:28,31.35,-9.493,-3.805,-1.451,10.329,5.964,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:02:33,30.97,-9.767,-3.962,-1.569,10.657,6.153,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:02:37,31.47,-9.611,-3.648,-1.569,10.399,6.004,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:02:43,31.47,-9.689,-3.766,-1.608,10.519,6.073,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:02:48,31.43,-10.003,-3.648,-1.491,10.751,6.207,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:02:54,31.21,-9.689,-3.727,-1.491,10.487,6.055,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:03:11,30.93,-9.728,-3.727,-1.569,10.535,6.082,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:03:20,31.01,-9.689,-3.687,-1.491,10.474,6.047,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:03:24,30.99,-9.846,-3.766,-1.608,10.663,6.157,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:03:30,31.05,-9.689,-3.609,-1.648,10.47,6.045,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:03:34,30.97,-9.767,-3.609,-1.569,10.53,6.08,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:03:38,30.93,-9.65,-3.648,-1.569,10.435,6.025,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:03:43,30.93,-9.65,-3.687,-1.569,10.449,6.033,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:03:47,30.85,-9.728,-3.727,-1.491,10.524,6.076,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:03:53,30.87,-9.689,-3.609,-1.53,10.452,6.034,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:03:59,31.07,-9.846,-3.648,-1.608,10.622,6.133,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:04:05,31.13,-9.767,-3.609,-1.53,10.525,6.076,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:04:09,30.51,-9.611,-3.57,-1.569,10.371,5.988,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:04:14,30.73,-9.728,-3.687,-1.569,10.521,6.074,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:04:20,31.33,-9.414,-3.687,-1.648,10.244,5.914,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:04:25,30.93,-9.767,-3.648,-1.608,10.55,6.091,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:04:29,31.13,-9.689,-3.648,-1.569,10.471,6.046,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:04:33,31.05,-9.728,-3.687,-1.491,10.51,6.068,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:04:38,31.05,-9.728,-3.648,-1.608,10.513,6.07,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:04:42,31.41,-9.728,-3.727,-1.53,10.529,6.079,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:04:51,30.87,-9.767,-3.687,-1.53,10.552,6.092,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:04:55,31.19,-9.767,-3.687,-1.569,10.557,6.095,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:05:02,31.21,-9.767,-3.609,-1.608,10.536,6.083,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:05:05,31.01,-9.728,-3.687,-1.491,10.51,6.068,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:05:11,30.99,-9.728,-3.687,-1.53,10.515,6.071,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:05:17,30.91,-9.689,-3.648,-1.451,10.454,6.036,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:05:21,31.27,-9.767,-3.648,-1.53,10.538,6.084,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:05:27,31.33,-9.65,-3.727,-1.648,10.475,6.048,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:05:31,31.13,-9.728,-3.687,-1.608,10.527,6.078,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:05:35,33.73,-9.767,-3.687,-1.491,10.546,6.089,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:05:39,31.83,-9.767,-3.687,-1.648,10.569,6.102,,,,,,,,,,,,,,,,,,,,,
3-3-2026 15:05:46,31.43,-9.728,-3.727,-1.569,10.535,6.082,,,,,,,,,,,,,,,,,,,,,
